names;tag
01.33 Pierre-Yves Dermagne, ministre;NAME
01.15 Greet Daems (PVDA-PTB);NAME
10.06 Jinnih Beels (Vooruit);NAME
02.01 Kurt Ravyts (VB);NAME
01.49 Meyrem Almaci (Ecolo-Groen);NAME
01.10 Dieter Vanbesien (Ecolo-Groen);NAME
01.35 Pierre-Yves Dermagne, ministre;NAME
01.20 Sophie Thémont (PS);NAME
01.08 Nabil Boukili (PVDA-PTB);NAME
12.02 Minister Paul Van Tigchelt;NAME
05.03 Marijke Dillen (VB);NAME
06.16 Ismaël Nuino (Les Engagés);NAME
09.02 Minister Paul Van Tigchelt;NAME
03.02 Nathalie Muylle (cd&v);NAME
06.10 François De Smet (DéFI);NAME
02.07 Minister Tinne Van der Straeten;NAME
03.03 Stefaan Van Hecke (Ecolo- Groen);NAME
01.24 Dieter Vanbesien (Ecolo-Groen);NAME
06.04 Minister Tinne Van der Straeten;NAME
Pierre-Yves Dermagne, ministre;NAME
06.23 Reccino Van Lommel (VB);NAME
01.46 Jean-Luc Crucke (Les En- gagés);NAME
01.47 Anja Vanrobaeys (Vooruit);NAME
01.39 Pierre-Yves Dermagne, ministre;NAME
01.10 Werner Somers (VB);NAME
06.22 François De Smet (DéFI);NAME
21.07 Christophe Lacroix (PS);NAME
04.04 Joris Vandenbroucke (Vooruit);NAME
04.07 Vanessa Matz (Les Enga- gés);NAME
Ik sluit me aan bij wat minister Van Peteghem zegt;MISTAKE
10.05 Sophie De Wit (N-VA);NAME
08.01 Kjell Vander Elst (Open Vld);NAME
07.02 Julie Taton (MR);NAME
01.16 Georges Gilkinet, ministre;NAME
01.12 Jean-Luc Crucke (Les Engagés);NAME
06.11 Reccino Van Lommel (VB);NAME
01.41 Pierre-Yves Dermagne, ministre;NAME
01.11 Farah Jacquet (PVDA-PTB);NAME
04.06 Nathalie Muylle (cd&v);NAME
Voorzitter - Président;NAME
03.01 Benoît Piedboeuf (MR);NAME
06.24 Robin Tonniau (PVDA-PTB);NAME
01.43 Florence Reuter (MR);NAME
01.26 Leentje Grillaert (cd&v);NAME
01.06 Meyrem Almaci (Ecolo-Groen);NAME
01.22 Robin Tonniau (PVDA-PTB);NAME
02.03 Jean-Luc Crucke (Les Engagés);NAME
04.01 Rajae Maouane (Ecolo-Groen);NAME
06.06 Youssef Handichi (MR);NAME
01.13 Sophie De Wit (N-VA);NAME
01.09 Minister Paul Van Tigchelt;NAME
06.02 Minister Paul Van Tigchelt;NAME
04.03 Alexander Van Hoecke (VB);NAME
03.05 Stefaan Van Hecke (Ecolo-Groen);NAME
04.02 Raoul Hedebouw (PVDA-PTB);NAME
01.16 Youssef Handichi (MR);NAME
01.10 Dorien Cuylaerts (N-VA);NAME
01.17 Sarah Schlitz (Ecolo-Groen);NAME
01.03 Peter De Roover (N-VA);NAME
01.06 Nathalie Muylle (cd&v);NAME
09.01 Vincent Van Quickenborne (Open Vld);NAME
01.05 Greet Daems (PVDA-PTB);NAME
06.14 Pierre-Yves Dermagne, ministre;NAME
